"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg"
149870,6229,"Data Engineer","Data Engineer - Contract - Canberra","Russell ACT, Australia","via LinkedIn","Full-time and Temp work","","Australia","2023-10-25 17:14:45",1,"","Australia","","",""
151010,6263,"Data Engineer","BI Analyst / Data Engineer - 6 Month Contract (Ongoing)","Sydney NSW, Australia","via LinkedIn","Contractor","","Australia","2023-03-22 17:29:12","","","Australia","","",""
159761,6562,"Software Engineer","Product Analyst","Australia","via BeBee Australia","Full-time and Temp work","","Australia","2023-11-19 17:15:49",1,"","Australia","","",""
164450,6733,"Senior Data Scientist","Senior Analytics Engineer","Australia","via LinkedIn","Full-time","","Australia","2023-11-04 17:32:51","","","Australia","","",""
164707,2244,"Senior Data Engineer","Senior Data Engineer","Canberra ACT, Australia","via Trabajo.org","Full-time","","Australia","2023-06-16 17:58:01","","","Australia","","",""
167934,6858,"Software Engineer","Software Development Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-12-01 17:19:27","","","Australia","","",""
169628,6908,"Data Engineer","Snr Data Engineer","Sydney NSW, Australia","via SimplyHired","Full-time","","Australia","2023-07-19 17:23:26","","","Australia","","",""
169671,6911,"Data Scientist","Staff Data Scientist","Sydney NSW, Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:16:02","","","Australia","","",""
170724,2852,"Senior Data Scientist","Senior Data Scientist","Melbourne VIC, Australia","via Ai-Jobs.net","Full-time","","Australia","2023-08-16 17:49:01","","","Australia","year","157500.0",""
173350,7038,"Data Engineer","Data Engineer","Sydney NSW, Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:15:59",1,"","Australia","","",""
173788,4644,"Data Scientist","AI Data Science Contract","Sydney NSW, Australia","via LinkedIn","Contractor","","Australia","2023-11-28 17:18:29","","","Australia","","",""
174110,7075,"Data Engineer","Data Engineer","Sydney NSW, Australia","via Trabajo.org","Full-time","","Australia","2023-04-29 17:11:50","","","Australia","","",""
179728,7246,"Business Analyst","Staff Capacity Engineer","Melbourne VIC, Australia","via Trabajo.org","Full-time","","Australia","2023-04-29 17:12:00",1,"","Australia","","",""
180785,7287,"Data Engineer","Data Engineer | Help pioneer the future of HealthTech with Magentus!","Brisbane QLD, Australia","via LinkedIn","Full-time","","Australia","2023-12-04 17:17:35","","","Australia","","",""
184290,1147,"Data Engineer","Data Engineer","Australia","via LinkedIn","Full-time","","Australia","2023-06-12 17:42:07","","","Australia","","",""
184479,1668,"Cloud Engineer","IT Operations Analyst","Australia","via Trabajo.org","Full-time","","Australia","2023-08-01 17:17:07","","","Australia","","",""
187459,112,"Business Analyst","Business Intelligence Engineer II","Australia","via Trabajo.org","Full-time","","Australia","2023-08-01 17:18:04","","","Australia","","",""
193421,7703,"Data Analyst","Aps6 Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-10-17 17:14:25",1,"","Australia","","",""
194144,7723,"Data Engineer","Data Engineer","Australia","via LinkedIn","Full-time","","Australia","2023-01-21 17:35:46",1,"","Australia","","",""
195028,7754,"Business Analyst","BI Analyst / Analytics Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-03-22 17:29:15",1,"","Australia","","",""
195550,2456,"Machine Learning Engineer","Sr. Machine Learning Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:16:02","","","Australia","","",""
196207,7785,"Data Analyst","Climate & Natural Hazards Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:05",1,"","Australia","","",""
198497,7846,"Business Analyst","Customer Service Business Analyst Job","Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-18 17:12:33","","","Australia","","",""
201014,7945,"Data Engineer","Data Centre Systems Engineer","Melbourne VIC, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:53","","","Australia","","",""
213180,8348,"Business Analyst","Principal Business Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:15:49","","","Australia","","",""
215898,8428,"Data Engineer","Lead Data Engineer / Solution Architect","Millers Point NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-02 17:15:44","","","Australia","","",""
223933,2852,"Cloud Engineer","Security Engineer","Melbourne VIC, Australia","via SmartRecruiters Job Search","Full-time","","Australia","2023-07-31 17:33:55",1,"","Australia","","",""
224421,8691,"Data Engineer","Data Engineers","Perth WA, Australia","via LinkedIn","Full-time","","Australia","2023-01-11 17:29:37","","","Australia","","",""
232082,8918,"Data Analyst","Power BI Data Analyst/Systems Support Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-06-19 17:38:51","","","Australia","","",""
232409,8927,"Data Analyst","HIM Data Integrity Analyst","Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-07 17:28:29","","","Australia","","",""
235432,9017,"Data Engineer","Data Engineer","Brisbane QLD, Australia","via Trabajo.org","Full-time","","Australia","2023-05-12 18:06:46","","","Australia","","",""
236508,9051,"Data Analyst","Investments Data Analyst ( SQL )","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-06-30 17:19:44",1,"","Australia","","",""
237412,4891,"Data Analyst","Data Architect","Australia","via BeBee Australia","Full-time","","Australia","2023-11-11 17:14:06",1,"","Australia","","",""
241554,546,"Data Engineer","Databricks Engineer","Sydney NSW, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:56","","","Australia","","",""
242087,9233,"Data Analyst","Niyo - Data Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-06-03 17:16:50","","","Australia","","",""
242801,9256,"Cloud Engineer","Cloud Engineer","Melbourne VIC, Australia","via BeBee Australia","Full-time","","Australia","2023-10-31 17:11:18",1,"","Australia","","",""
243888,9290,"Data Engineer","Data Analytics Developers","Brisbane QLD, Australia","via LinkedIn","Contractor","","Australia","2023-07-12 17:16:41",1,"","Australia","","",""
244962,1091,"Data Engineer","Data Engineer - Python","Sydney NSW, Australia","via Adzuna","Full-time","","Australia","2023-07-12 17:16:37","","","Australia","","",""
246646,9382,"Business Analyst","Commercial Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-10-17 17:14:21",1,"","Australia","","",""
248681,559,"Machine Learning Engineer","Sr. Applied Machine Learning Scientist","Australia","via Trabajo.org","Full-time","","Australia","2023-07-14 17:17:11","","","Australia","","",""
258287,9774,"Software Engineer","Senior Design Engineer","Sydney NSW, Australia","via Trabajo.org","Full-time","","Australia","2023-04-05 17:12:05","","","Australia","","",""
260699,9836,"Data Analyst","Data Analyst","Australia","via Trabajo.org","Full-time","","Australia","2023-07-29 17:13:54","","","Australia","","",""
265511,9962,"Data Scientist","Entry Level Data Coder","Australia","via Trabajo.org","Full-time","","Australia","2023-02-15 18:03:39",1,"","Australia","","",""
266148,9983,"Cloud Engineer","Configuration Engineer","Brisbane QLD, Australia","via Trabajo.org","Full-time","","Australia","2023-04-29 17:12:03","","","Australia","","",""
266655,6300,"Software Engineer","Software Engineer – Data","Sydney NSW, Australia","via Hatch","Full-time","","Australia","2023-05-08 17:32:20",1,"","Australia","","",""
283695,10544,"Data Scientist","Research Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:15:49","","","Australia","","",""
284871,10576,"Data Analyst","Team Leader/Analyst Sql","Australia","via BeBee Australia","Full-time","","Australia","2023-10-13 17:33:48","","","Australia","","",""
292310,10818,"Data Engineer","Data Engineer - Amazon Web Services (AWS)","Sydney NSW, Australia","via Adzuna","Full-time","","Australia","2023-02-07 17:26:39",1,"","Australia","","",""
293360,3070,"Software Engineer","Senior Software Engineer, Query Optimizer","Australia","via BeBee Australia","Full-time","","Australia","2023-08-03 17:11:02","","","Australia","","",""
296073,708,"Senior Data Analyst","Senior Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-09-10 17:19:00",1,"","Australia","","",""
299155,4644,"Senior Data Engineer","Senior Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-04-01 17:10:28","","","Australia","","",""
301664,4225,"Software Engineer","Senior Platform Engineer","Sydney NSW, Australia","via Hatch","Full-time","","Australia","2023-03-06 18:03:16",1,"","Australia","","",""
303431,11170,"Software Engineer","Digital Performance Analyst","Australia","via BeBee Australia","Full-time and Part-time","","Australia","2023-11-11 17:13:55",1,"","Australia","","",""
304429,11196,"Data Engineer","Data Engineer - AWS - Redshift, EMR","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-11-29 17:15:47",1,"","Australia","","",""
306013,11251,"Data Analyst","Data Analyst","Parramatta NSW, Australia","via LinkedIn","Full-time","","Australia","2023-10-17 17:14:39",1,"","Australia","","",""
311395,11407,"Cloud Engineer","FTTC/P Network Performance Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-03-03 17:16:43","","","Australia","","",""
325586,1147,"Data Analyst","Data Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-01-23 17:45:33","","","Australia","","",""
326902,4644,"Data Analyst","Data Architect","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-04-01 17:10:28",1,"","Australia","","",""
327678,11869,"Data Scientist","Field Engineer","Australia","via Trabajo.org","Full-time","","Australia","2023-07-29 17:14:05","","","Australia","","",""
328579,11897,"Data Engineer","Azure Data Engineer","Melbourne VIC, Australia","via Adzuna","Full-time","","Australia","2023-06-13 17:19:48","","","Australia","","",""
330117,11946,"Senior Data Scientist","Senior Data Visualization Specialist","Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-07 17:28:29","","","Australia","","",""
331556,3318,"Business Analyst","Data and Research, Business Analyst","Australia","via LinkedIn","Full-time","","Australia","2023-12-20 17:16:46",1,"","Australia","","",""
338017,12195,"Data Engineer","Snr Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-02-20 17:18:15","","","Australia","","",""
338190,6229,"Data Engineer","Data eng-Tech lead - Perm/Contract - Sydney","Millers Point NSW, Australia","via LinkedIn","Contractor","","Australia","2023-09-20 17:20:24",1,"","Australia","","",""
338506,12211,"Data Scientist","Jupiter.money - Senior Product Manager - Data Science","Australia","via LinkedIn","Full-time","","Australia","2023-06-03 17:16:50","","","Australia","","",""
345414,11704,"Software Engineer","Software Engineer, Marketing Cloud Data Platform","Australia","via BeBee Australia","Full-time","","Australia","2023-11-20 17:14:59",1,"","Australia","","",""
349731,12554,"Software Engineer","Senior Engineer","Canberra ACT, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-12-09 17:10:28",1,"","Australia","","",""
354789,3562,"Business Analyst","Business Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-09-06 17:39:01","","","Australia","","",""
356031,12728,"Senior Data Engineer","Senior Data Engineer","Sydney NSW, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-02-03 17:49:34",1,"","Australia","","",""
357291,10783,"Data Scientist","Data Scientist","Melbourne VIC, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-19 17:14:36","","","Australia","","",""
357681,4644,"Data Engineer","Data Engineer","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-04-28 17:12:47","","","Australia","","",""
358531,7420,"Senior Data Analyst","Senior Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-08-06 17:45:30",1,"","Australia","","",""
359133,12809,"Data Scientist","Spatial Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-12-01 17:19:15",1,"","Australia","","",""
371284,13128,"Senior Data Scientist","Senior Data Scientist","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-07-04 17:17:59","","","Australia","","",""
371959,3070,"Software Engineer","Senior Software Engineer, Snowpark Python","Australia","via BeBee Australia","Full-time","","Australia","2023-08-03 17:11:13",1,"","Australia","","",""
373709,3562,"Software Engineer","Software Development Engineer, Amazon Keyspaces Storage","Australia","via BeBee Australia","Full-time","","Australia","2023-11-20 17:15:04","","","Australia","","",""
381543,13128,"Data Engineer","Data Engineer","Brisbane QLD, Australia","via LinkedIn","Contractor","","Australia","2023-12-13 17:17:15","","","Australia","","",""
384328,13491,"Data Engineer","Data Engineer","Australia","via Trabajo.org","Full-time","","Australia","2023-06-03 17:16:50","","","Australia","","",""
385019,13511,"Data Engineer","Data Engineer","Melbourne VIC, Australia","via LinkedIn","Contractor","","Australia","2023-05-17 17:45:13","","","Australia","","",""
387124,3070,"Software Engineer","Senior Software Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-10-15 17:11:50","","","Australia","","",""
387512,13590,"Data Scientist","Propelld - Manager - Analytics/Data Science","Australia","via LinkedIn","Full-time","","Australia","2023-05-31 17:30:40","","","Australia","","",""
393233,13761,"Data Scientist","Data Scientist - Energy Markets","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-07-26 17:19:09","","","Australia","","",""
394125,4644,"Cloud Engineer","GCP Engineer/Developer","Sydney NSW, Australia","via Trabajo.org","Full-time","","Australia","2023-09-27 17:22:33",1,"","Australia","","",""
396512,1147,"Data Engineer","Data Engineer","Australia","via LinkedIn","Full-time","","Australia","2023-09-30 17:43:32",1,"","Australia","","",""
397665,3562,"Data Engineer","Data Engineer, NASC Engineering","Australia","via BeBee Australia","Full-time","","Australia","2023-08-06 17:45:37",1,"","Australia","","",""
398301,352,"Data Engineer","Lead Delivery Data Engineer","Melbourne VIC, Australia","via LinkedIn","Full-time","","Australia","2023-01-04 02:50:59","","","Australia","","",""
401223,13973,"Data Engineer","Data Engineer","Canberra ACT, Australia","via LinkedIn","Contractor","","Australia","2023-08-19 17:10:09","","","Australia","","",""
412511,14241,"Software Engineer","Software Engineer - Backend Data Processing (Mid-Level)","Adelaide SA, Australia","via LinkedIn","Full-time","","Australia","2023-11-15 17:17:28","","","Australia","","",""
427361,14647,"Senior Data Engineer","Senior Data Platform Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-10-17 17:14:34","","","Australia","","",""
432792,14784,"Data Analyst","FINANCIAL Data Analyst","Australia","via Trabajo.org","Full-time","","Australia","2023-03-30 17:24:48","","","Australia","","",""
435320,14850,"Data Engineer","Data Engineer III","Australia","via BeBee Australia","Full-time","","Australia","2023-09-26 17:22:36","","","Australia","","",""
436372,352,"Data Engineer","Data Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-10-03 17:39:56",1,"","Australia","","",""
443693,15082,"Software Engineer","IT Analyst Sr-Product Owner","Australia","via Trabajo.org","Full-time","","Australia","2023-08-17 17:12:16","","","Australia","","",""
446087,650,"Data Scientist","Principal Data Scientist","Australia","via Trabajo.org","Full-time","","Australia","2023-11-03 17:11:57","","","Australia","","",""
448284,15204,"Software Engineer","SOE Engineeer","Canberra ACT, Australia","via LinkedIn","Full-time","","Australia","2023-03-11 17:19:05",1,"","Australia","","",""
451704,15298,"Data Analyst","Customer Insights Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:09","","","Australia","","",""
455162,8362,"Senior Data Analyst","Clinical Research Analyst","Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-06 17:11:59","","","Australia","","",""
456542,1405,"Data Scientist","Capability Analyst","Australia","via BeBee Australia","Part-time","","Australia","2023-10-03 17:39:48","","","Australia","","",""
456865,15419,"Senior Data Engineer","Senior Database Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-11 17:14:06",1,"","Australia","","",""
456953,6733,"Senior Data Engineer","Senior Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-09-09 17:18:08",1,"","Australia","","",""
457437,15437,"Business Analyst","Commercial Analyst","Australia","via Trabajo.org","Full-time","","Australia","2023-05-25 17:35:55","","","Australia","","",""
461953,15560,"Senior Data Analyst","Energy Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-07-28 17:16:46","","","Australia","","",""
462833,15589,"Business Analyst","Revenue Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-10-17 17:14:19",1,"","Australia","","",""
468355,15744,"Data Analyst","Junior Data Analyst","Sydney NSW, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:56",1,"","Australia","","",""
469901,15775,"Business Analyst","Index Operations Analyst","Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-04-13 17:15:44","","","Australia","","",""
473686,15878,"Data Analyst","Sr. Engines Configuration and Data Management Analyst","Australia","via BeBee Australia","Part-time","","Australia","2023-08-03 17:10:44","","","Australia","","",""
478308,15987,"Software Engineer","Lead Engineer","Camberwell VIC, Australia","via BeBee Australia","Full-time","","Australia","2023-10-30 17:10:47",1,"","Australia","","",""
495326,16416,"Cloud Engineer","Customer Engineer","Sydney NSW, Australia","via Trabajo.org","Full-time","","Australia","2023-04-29 17:12:00",1,"","Australia","","",""
504702,16636,"Data Scientist","Hadoop Engineer","Millers Point NSW, Australia","via LinkedIn","Full-time","","Australia","2023-04-27 17:12:45","","","Australia","","",""
506378,16673,"Data Engineer","Lead Data Engineer –  BHP Job Openings","Australia   (+2 others)","via Jobs","Full-time","","Australia","2023-12-26 17:15:52","","","Australia","","",""
511108,3070,"Software Engineer","Senior Software Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-20 17:15:02",1,"","Australia","","",""
518851,15970,"Data Analyst","El2 Data Analyst Actuary","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:05",1,"","Australia","","",""
520676,3807,"Software Engineer","Platform Engineer (Tableau Experience)","Sydney NSW, Australia","via Tata Consultancy Services - Talentify","Full-time","","Australia","2023-03-25 17:20:12",1,"","Australia","","",""
534434,17361,"Senior Data Analyst","Senior Data Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-10-13 17:33:49",1,"","Australia","","",""
535150,17384,"Business Analyst","I Insider Risk Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-12-01 17:19:15",1,"","Australia","","",""
536953,4644,"Data Engineer","Lead Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-06-15 17:38:28","","","Australia","","",""
542199,10696,"Data Analyst","Sr. Data Analyst","Australia","via Trabajo.org","Full-time","","Australia","2023-10-17 17:14:23","","","Australia","","",""
553568,4644,"Data Engineer","Lead GCP Data Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-10-30 17:10:38",1,"","Australia","","",""
556877,1147,"Data Scientist","Detection Engineer","Canberra ACT, Australia","via LinkedIn","Full-time","","Australia","2023-10-24 17:12:39","","","Australia","","",""
559400,18009,"Data Engineer","Data Engineer (933950)","Wooli NSW, Australia","via Jooble","Full-time","","Australia","2023-10-20 17:17:30",1,"","Australia","","",""
563776,9962,"Data Scientist","Graduate Data Coder","Australia","via Trabajo.org","Full-time","","Australia","2023-02-15 18:03:39",1,"","Australia","","",""
575360,546,"Data Scientist","Data Modeller","Melbourne VIC, Australia","via Trabajo.org","Full-time","","Australia","2023-04-29 17:12:03",1,"","Australia","","",""
576968,18427,"Data Engineer","Azure Data Engineer","Millers Point NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-15 17:17:24","","","Australia","","",""
581030,6229,"Machine Learning Engineer","Machine Learning Engineers - contract - Canberra","Russell ACT, Australia","via LinkedIn","Contractor and Temp work","","Australia","2023-09-26 17:22:41","","","Australia","","",""
582225,6300,"Data Scientist","Database Engineer","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-06-20 17:13:45","","","Australia","","",""
584110,18621,"Business Analyst","Enterprise Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-19 17:15:49","","","Australia","","",""
584418,17791,"Data Engineer","6D2EI3 (671) - Product Data Mgmt Engr 3 (Config & Data Mgmt/Tech...","Australia","via Trabajo.org","Full-time","","Australia","2023-04-04 17:30:38",1,"","Australia","","",""
592180,1668,"Software Engineer","Principal Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-11-16 17:16:01","","","Australia","","",""
597418,18910,"Machine Learning Engineer","Machine Learning Engineers","McKellar ACT, Australia","via Adzuna","Full-time","","Australia","2023-09-19 17:20:22","","","Australia","","",""
602991,8362,"Senior Data Engineer","Senior Clinical Data Engineer","Australia","via Trabajo.org","Full-time","","Australia","2023-06-27 17:40:55","","","Australia","","",""
606521,1147,"Senior Data Engineer","Senior Data Engineer/Consultant","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-11-03 17:11:59","","","Australia","","",""
606726,570,"Software Engineer","Software Development Engineer I","Sydney NSW, Australia","via LinkedIn","Full-time","","Australia","2023-03-28 17:24:33","","","Australia","","",""
607202,19145,"Data Engineer","Junior Data Engineer","Sydney NSW, Australia","via Jobs Trabajo.org","Full-time","","Australia","2023-01-21 17:35:51","","","Australia","","",""
608763,19190,"Business Analyst","Waste Engineer","Brisbane QLD, Australia","via LinkedIn","Full-time","","Australia","2023-10-13 17:34:08","","","Australia","","",""
608999,19198,"Cloud Engineer","Cloud Engineer","Australia","via BeBee Australia","Full-time","","Australia","2023-09-25 17:43:34",1,"","Australia","","",""
614452,19322,"Business Analyst","Commercial Analyst","Australia","via BeBee Australia","Full-time","","Australia","2023-11-21 17:38:10",1,"","Australia","","",""
617473,3070,"Software Engineer","Senior Software Engineer- Sharing and Marketplace Foundation","Australia","via BeBee Australia","Full-time","","Australia","2023-10-13 17:34:10","","","Australia","","",""
620356,19456,"Senior Data Engineer","Senior Data Engineer","Brisbane QLD, Australia","via LinkedIn","Full-time","","Australia","2023-08-11 17:13:22","","","Australia","","",""
621878,19507,"Data Analyst","Analytics Specialist","Australia","via BeBee Australia","Full-time","","Australia","2023-11-15 17:17:09","","","Australia","","",""
